file	size_bytes	sha256	source_fixture	source_command	notes
noaa_gfs_pgrb2_scan32_record1.grib2	97919	adfbf25fa02989917843ccd1a8c41b0e7dd3124e52cd295d9a73972c1503603d	fixtures/grib2_noaa/gfs.t00z.pgrb2.1p00.f000.grib2	/opt/homebrew/bin/wgrib2 fixtures/grib2_noaa/gfs.t00z.pgrb2.1p00.f000.grib2 -for_n 1:1 -set_grib_type simple -set_flag_table_3.4 32 -rpn 2raw -grib_out fixtures/grib2_derived/noaa_gfs_pgrb2_scan32_record1.grib2	record 1 re-encoded with flag_table_3.4=32 (NS:WE, consecutive_j)
noaa_gfs_pgrb2_scan48_record1.grib2	97919	f52ac146d4914626798eafab29a0216746072a8084c08c892d1d26aef016a498	fixtures/grib2_noaa/gfs.t00z.pgrb2.1p00.f000.grib2	/opt/homebrew/bin/wgrib2 fixtures/grib2_noaa/gfs.t00z.pgrb2.1p00.f000.grib2 -for_n 1:1 -set_grib_type simple -set_flag_table_3.4 48 -rpn 2raw -grib_out fixtures/grib2_derived/noaa_gfs_pgrb2_scan48_record1.grib2	record 1 re-encoded with flag_table_3.4=48 (NS(W|E), consecutive_j + alternating_rows)
noaa_gfs_pgrb2_scan32_uv_records11_12.grib2	195838	2a632503070e1ecc0291dd4a5a30c87d0c33540c40f857a878a279d634976729	fixtures/grib2_noaa/gfs.t00z.pgrb2.1p00.f000.grib2	/opt/homebrew/bin/wgrib2 fixtures/grib2_noaa/gfs.t00z.pgrb2.1p00.f000.grib2 -for_n 11:12 -set_grib_type simple -set_flag_table_3.4 32 -rpn 2raw -grib_out fixtures/grib2_derived/noaa_gfs_pgrb2_scan32_uv_records11_12.grib2	records 11:12 re-encoded with flag_table_3.4=32 (NS:WE, consecutive_j) for exact -new_grid U/V compare
noaa_gfs_pgrb2_scan48_uv_records11_12.grib2	195838	cb9b4848af6ad005e066b27053eeb9cdfd2d3cfe28e1881507e5234ea1d675e8	fixtures/grib2_noaa/gfs.t00z.pgrb2.1p00.f000.grib2	/opt/homebrew/bin/wgrib2 fixtures/grib2_noaa/gfs.t00z.pgrb2.1p00.f000.grib2 -for_n 11:12 -set_grib_type simple -set_flag_table_3.4 48 -rpn 2raw -grib_out fixtures/grib2_derived/noaa_gfs_pgrb2_scan48_uv_records11_12.grib2	records 11:12 re-encoded with flag_table_3.4=48 (NS(W|E), consecutive_j + alternating_rows) for exact -new_grid U/V notice compare
noaa_gfswave_global_bitmap254_records5_6.grib2	807213	94f5c74bc47e472e409c5f20386c01c2ca89669d0d9de8b1dcac2a90329c8dfe	fixtures/grib2_noaa/gfswave.t00z.global.0p25.f000.grib2	/opt/homebrew/bin/wgrib2 fixtures/grib2_noaa/gfswave.t00z.global.0p25.f000.grib2 -for_n 5:6 -tosubmsg fixtures/grib2_derived/noaa_gfswave_global_bitmap254_records5_6.grib2	records 5:6 merged into one message; raw file contains Sec6 repeat marker 0000000606fe and wgrib2 resolves it to the previous bitmap in inventory output
noaa_gfswave_atlocn_0p16_ncep_norm_input.grib2	230821	c1b2adb2ff5045b63359f91ea05eb1ffb8fc03b701a4b087335acb74692f894a	fixtures/grib2_noaa/gfswave.t00z.atlocn.0p16.f000.grib2	moon test cmd/main/main_wbtest.mbt --target native --filter '*supports -ncep_norm on synthetic PDT4.8 ave series*'	synthetic PDT 4.8 ave series derived from gfswave record 1 by write_synthetic_forecast_input; used for exact -ncep_norm compare
noaa_gfswave_atlocn_0p16_merge_fcst_input.grib2	230821	cec11e8261155b8b8058cac6d88f1991f4e5b57e7d4082ab6a79dce9548d064a	fixtures/grib2_noaa/gfswave.t00z.atlocn.0p16.f000.grib2	moon test cmd/main/main_wbtest.mbt --target native --filter '*supports -merge_fcst on synthetic PDT4.8 ave series*'	synthetic PDT 4.8 ave series derived from gfswave record 1 by write_synthetic_forecast_input; used for exact -merge_fcst compare
noaa_gfswave_atlocn_0p16_unmerge_fcst_input.grib2	245531	2f614c1f248bec815b71a1bd92934bb402390009c838f095d5dcc2549c33a819	fixtures/grib2_noaa/gfswave.t00z.atlocn.0p16.f000.grib2	moon test cmd/main/main_wbtest.mbt --target native --filter '*supports -unmerge_fcst on synthetic PDT4.8 acc series*'	synthetic PDT 4.8 acc series derived from gfswave record 1 by write_synthetic_forecast_input; used for exact -unmerge_fcst compare
noaa_gfs_pgrb2_mixed_reference_netcdf_input.grib2	150966	fd9cd185153d63506dff3a3cee023a340902196a76eb25eea5a5f66d6d959603	fixtures/grib2_noaa/gfs.t00z.pgrb2.1p00.f000.grib2	moon test cmd/main/main_wbtest.mbt --target native --filter '*writes mixed-reference analysis netcdf fixture*'	two-record analysis GRIB2 built from NOAA GFS pgrb2 record 1 with second record reference time shifted by +6h; used for exact -netcdf mixed-reference compare
noaa_gfs_pgrb2_synthetic_mercator_netcdf_input.grib2	41328	24ea318c2a2a596e0079381fd76b9258711f13a870793b55aa875843ed09060e	fixtures/grib2_noaa/gfswave.t00z.atlocn.0p16.f000.grib2	moon test cmd/main/main_wbtest.mbt --target native --filter '*writes synthetic Mercator netcdf fixture*'	single-record spherical Mercator GRIB2 built from NOAA GFS waveatlocn record 1; used for exact -netcdf Mercator compare
noaa_gfs_pgrb2_synthetic_mercator_mixed_reference_netcdf_input.grib2	82656	5271c64e2f2b1d8a6b093f5263af5dd1e33867f87d6cb8ecde8d1a3683516c87	fixtures/grib2_noaa/gfswave.t00z.atlocn.0p16.f000.grib2	moon test cmd/main/main_wbtest.mbt --target native --filter '*writes synthetic Mercator mixed-reference netcdf fixture*'	two-record spherical Mercator GRIB2 built from NOAA GFS waveatlocn record 1 with second record reference time shifted by +6h; used for exact -netcdf Mercator mixed-reference compare
noaa_gfs_pgrb2_synthetic_rotated_latlon_netcdf_input.grib2	75495	af3057fdcf3b306a0fccf8647a35c63eb98e2039ddceff20032e2e659f5a5db3	fixtures/grib2_noaa/gfs.t00z.pgrb2.1p00.f000.grib2	moon test cmd/main/main_wbtest.mbt --target native --filter '*writes synthetic rotated lat-lon netcdf fixture*'	single-record rotated lat-lon GRIB2 built from NOAA GFS pgrb2 record 1; used for exact -netcdf combined compare of notice lines and output file
noaa_gfs_pgrb2_synthetic_polar_stereographic_netcdf_input.grib2	75476	63c88d1d482a53bc1b0e41a78862120e1be0ebdfb08b8ef3453c9d5bd6a3e3ce	fixtures/grib2_noaa/gfs.t00z.pgrb2.1p00.f000.grib2	moon test cmd/main/main_wbtest.mbt --target native --filter '*writes synthetic polar stereographic netcdf fixture*'	single-record polar stereographic GRIB2 built from NOAA GFS pgrb2 record 1; used for exact -netcdf polar stereographic compare
noaa_gfs_pgrb2_synthetic_lambert_conformal_netcdf_input.grib2	75492	32e7b38926625ffd7f98cc960bdb7b481d546a725a2b5edafafc724ede0b3aee	fixtures/grib2_noaa/gfs.t00z.pgrb2.1p00.f000.grib2	moon test cmd/main/main_wbtest.mbt --target native --filter '*writes synthetic Lambert conformal netcdf fixture*'	single-record Lambert conformal GRIB2 built from NOAA GFS pgrb2 record 1; used for exact -netcdf Lambert conformal compare
jma_msm_fh00_15_tmp1000_ncep_norm_input.grib2	366652	8de599d8a1e7e17dc2dec83794e3da609985ac7e6b22d8cc651d440e7aa5f455	fixtures/grib2_jma/Z__C_RJTD_20241206000000_MSM_GPV_Rjp_L-pall_FH00-15_grib2.bin	moon test cmd/main/main_wbtest.mbt --target native --filter '*supports -ncep_norm on real-world-derived PDT4.8 ave series*'	real-value PDT 4.8 ave series built from JMA MSM FH00-15 TMP:1000 mb records 96/188/280/372; used for exact -ncep_norm compare
jma_msm_fh00_15_tmp1000_merge_fcst_input.grib2	366652	9f941c04db4a393108e5b4ee1dd165a82016ce92d8b8e9113ea3df64232af4ee	fixtures/grib2_jma/Z__C_RJTD_20241206000000_MSM_GPV_Rjp_L-pall_FH00-15_grib2.bin	moon test cmd/main/main_wbtest.mbt --target native --filter '*supports -merge_fcst on real-world-derived PDT4.8 ave series*'	real-value PDT 4.8 ave series built from JMA MSM FH00-15 TMP:1000 mb records 96/188/280/372; used for exact -merge_fcst compare
